text,emotions
"কোয়ারেন্টাইনের ধূসর দিনগুলোকে কয়েক পাতায় লিপিবদ্ধ করতে মন চাইলো আজ। যদি বেঁচে ফিরি এ মহামারী থেকে, তবে বছর কতক পরে,কোন এক অবসরে খুলে দেখা যাবে জীবনের পরতে পরতে সাজানো ভয়ংকর সুন্দর অভিজ্ঞতার গল্প।
আমি প্রাণভরে আকাশ দেখি না আজ পঞ্চান্ন দিন। আমি বাতাসকে ছুঁতে পারি না মন খুলে। আমার বারান্দা দিয়ে বাহির পানে চোখ মেললে বিশাল অট্টালিকাই দেখা যায় দৃষ্টিসীমার বেশিরভাগটা জুড়ে, কেমন যেন বীভৎসতা নিয়ে তাকিয়ে থাকে আমার দিকে তারা। হঠাৎ মনে হয় এই বুঝি শ্বাসটা আটকে দিলো আমার! আমি সকালে পাখির ক… See more",Admiration
"শাপমোচন 
   ~ ফাল্গুনি মুখোপাধ্যায়",Neutral
খবরটা শোনার পর থেকে থম মেরে আছি। কোন শব্দ নাই।,Amusement
"আমাদের বন্ধু ফারদিন নুর পরশ, সিভিল ইঞ্জিনিয়ারিং, ব্যাচ ১৮, গত ৪ই নভেম্বর, শুক্রবার আনুমানিক রাত ১০ঃ৩০ টার দিকে নিখোঁজ হয়। আজ (৭ই নভেম্বর) সন্ধ্যা আনুমানিক ৬ঃ৩০ টার দিকে নারায়ণগঞ্জ থেকে তার মরদেহ উদ্ধার করা হয়েছে। সবাই মরহুমের আত্মার মাগফিরাত কামনা করি। আল্লাহ তাআলা তাকে জান্নাতুল ফেরদৌস দান করুক। আমিন।",Sadness
"অ্যাপয়েন্টমেন্ট উইথ ডেথ 
~ আগাথা ক্রিস্টি 
মো. ফুয়াদ আল ফিদাহ বেশ সুন্দর অনুবাদ করেছেন।",Admiration
"যুগের খেয়ালে ঘটছে ক্রমাগত অনুভূতির বিবর্তন 
তবু কিছু উন্মাদনা বাঁচার দাবি রাখে, সত্য চিরন্তন। 
নতুবা নেতিয়ে পড়া জীবনের দোলনচাঁপা 
কী করে পুনঃজন্মের পর হবে নির্মলা?
একটা জীবন ভেসে যাবে ক্লান্তস্রোতের তালে, … See more",Realization
"আমার বয়স যখন আট নয় বছর, তখন অবধি প্রতি রমজানের ঈদে নানু বাড়ি যেতাম। কথায় আছে না ""নানার বাড়ি রসের হাড়ি"", অবস্থাটা ছিলো ওমনই। বড়মামা, বড়মামি, মামাতো ভাইবোনেরা সবাই তখন ছোট্ট মফস্বলে নানার রেখে যাওয়া খোলামেলা, বিশাল বাড়িটাতে থাকতো। ঈদের সময় মেজোমামা নতুন মামিকে নিয়ে ঢাকা থেকে আসতো। ছোট্ট আমি চোখের কোণা দিয়ে আড়চোখে নতুন মামিকে দেখতাম। ছোটমামা আর দিদিভাই (বড় মামাতো বোন) তখন ঢাকায় কলেজে পড়ে। বছর ঘুরে একবার দেখা হয়, ছোটমামা, দিদিভাই, তূর্য ভাইয়া আমাকে খেপানোর সুযোগ ছাড়ে না। দেখা হওয়… See more",Excitement
"""SALAMI"" প্রোমোকোড ব্যবহার করে অতিরিক্ত ছাড়ে পাওয়া যাচ্ছে আমার কাব্যগ্রন্থ ইচ্ছেঘুড়ির বৃষ্টিবিলাস। 
 অর্ডার লিংক-
https://www.rokomari.com/book/222993/icheghurir-bristibilash",Neutral
"আমার বন্ধু Mashrur Ahmed এর লেখা গল্প। 
লেনাদেনার এই পৃথিবীতে শর্তহীন অনিঃশেষ ভালোবাসার আধার বাবা নামের বটবৃক্ষ। ",Neutral
"Mashrur Ahmed -এর
ক্ষণিকের পথসঙ্গী
ইদানিং ক্লাবে কাজ করাটা খুব ইঞ্জয় করছি। তো সেদিন ক্লাব মিটিং ঠিক করা হয় বিকেল সাড়ে চারটায়। অন্য একটা কাজ সেরে, ফ্রেশ হয়ে, কো… See more",Joy
"গত সেমিস্টারে বাসায় টানা খুব অল্প দিনই ছিলাম। তাই ভাইবোনদের সাথে নিবিড় সময় কাটানো তেমন একটা হয়ে ওঠেনি। কিন্তু এবার ঈদের ছুটির তো বেশ লম্বা, আবার মাথার উপর কোন ডেডলাইনসের চাপও নেই। আমার আট বছর বয়সী ছোট ভাইটারর সাথে গল্প করতে করতে হঠাৎ দেখলাম সে Enayet Chowdhury কে চেনে, তাঁর ভিডিও দেখে! জিজ্ঞেস করলাম কী বুঝো তুমি উনার ভিডিও? কী বলে উনি?
উত্তরে বললো, উনি ইতিহাস আর বর্তমান ইস্যু নিয়ে কথা বলে। বললাম, যেমন? বলে, এই ধরো তিস্তা নদী, ইউক্রেন ইস্যু এসব। আরো বলে, আমি Khalid Farhan কে চ… See more",Amusement
তিক্ত হলেও কথা সত্য।,Realization
"কেন সত্যজিৎ, মৃণাল ও ঋত্বিক পরিত্যাজ্য ~
সত্যজিৎ রায়, মৃণাল সেন ও ঋত্বিক ঘটক এরা মিডল ক্লাস চলচ্চিত্র নির্মাতা ছিলেন তাতে কোনো সমস্যা নাই। 
সমস্যা হইতেছে, এনা… See more",Anger
গলির মুখের দোকানি থেকে পাঁচশ টাকার কড়কড়ে নোট বদলে ফিরতি খুচরো টাকাগুলোর মতো হিসেবের খাতা থেকে নেই হয়ে যাচ্ছে একেকটি দিন।,Sadness
"গাঁটছাড়া বাঁধার পর আটটি বসন্ত পেরিয়ে গেলেও নির্মল অপত্য স্নেহ হৃদয় মাঝে ধারণ করার মতো শুভ দৃষ্টি আজো ভাগ্যলোকে জোটেনি সারল্য আর লেখা দম্পতির। লেখার বিশেষ কিছু শারীরিক জটিলতার কারণে সম্ভব হয়নি। তবে আটপৌরে বাঙালি পুরুষের মতো স্ত্রীকে উচ্ছিষ্টের মতো ছুঁড়ে ফেলা তো দূরের কথা, সারল্য লেখাকেভসুচাগ্র সূঁচের মতো নূন্যতম তীক্ষ্ণ  কথার বাণেও বিদ্ধ করেনি, নিজের পরিজন, আত্মীয় থেকে শুরু করে হঠাৎ আসা আগন্তুককেও সেই সুযোগ দেয়নি। পরম যত্নে আগলে রেখেছে সত্তাসঙ্গিনীকে। 
যখন মাসছয়েক আগে জানলো, স… See more",Admiration
প্রতি ছুটিতে একবার না দিলে আশ মেটে না। ,Realization
"এই যে প্রিয় মানুষ, 
তোমার জন্য এক গুচ্ছ শব্দের মায়াবন উপহার দেবার সময় আমার হয়ে ওঠে না। এ কেমন ঘোড়দৌড়ের জীবন, এ তো চাই না। কর্দমাক্ত মাটি যেমন পরিপাটি বেশভূষায় হণ্টনরত পথিকের ভ্রু কুঞ্চিত করে ঈষৎ বিরক্তি আনে, তেমনই দেয়ালে পিঠ ঠেকে গেলে ছন্দে, গন্ধে দুর্বার জীবনও বেশ খানিকটা নিষ্প্রভ, নিস্পৃহ ঠেকে। 
প্রণয়ের প্রথম প্রহরের মতো প্রেমবিলাসের সোমরস মিশ্রিত কথা বোধহয় আজকের ক্লান্ত শ্রান্ত আমিটার মুখ নিয়ে নিঃসৃত হবে না। তবে আমি এটুকু বলতে পারি, তুমি এমন মানুষ, যার জন্য আমার অক্ষিকোটরে… See more",Admiration
"সালটা সম্ভবত এপ্রিল, ১৯৮৯।
“বহুব্রীহি” নাটক নিয়ে প্রখ্যাত সাংবাদিক জোতির্ময় দত্ত কলকাতার “টেলিভিশন”(সংখ্যা ৪৭) পত্রিকায় এই রিপোর্টটা লিখেছিলেন।
‘বহুব্রীহি’র এপ… See more",Admiration
"মধ্য বাইশে এসে মনে হয়, মানুষের জীবনে ভুলের চেয়ে প্রিয় জিনিস হয়তো আর নেই। মাংসের তরকারিতে মনের বেখেয়ালে লবণের বদলে চিনির দানা পড়ে যাবার মতো ভুল, অতল জলে বীভৎস হাঙর ঘুমায় জেনেও তার নেশায় পড়ে, সাঁতার কাটার বাসনায় ঝাঁপ দেবার মতো বিকটাকার ভুল, এবেলার ভুল ওবেলায় স্মৃতি থেকে নেই হয়ে যাবার মতো ভুল,  সিডরের করাল থাবায় চিরতরে নিশ্চিন্ন হয়ে যাবার মতো ভুল, আণুবীক্ষণিক প্রাণি হতে শুরু করে বিশাল পর্বতের মতো আকৃতিবিশিষ্ট ভুল, সব - একেবারে সব, মানুষ পুষে রাখে গভীর যত্নে মনের গোপন ঘরে। কী বৈপ… See more",Realization
"নগদ রকমারি অনলাইন বইমেলা ২০২২ শেষ হলো। 
দুইমাস ব্যাপী চলমান এই বইমেলায়,
কবিতা ক্যাটাগরিতে -
লেখক হিসেবে আমি - ৩৭ নাম্বারে… See more",Neutral
"আনমনে নিউজফিড স্ক্রল করছিলাম। হঠাৎ নিউজফিডে একটা পোস্ট ভেসে আসলো। লিস্টের স্বল্পপরিচিত এক বন্ধু তার আর এক বন্ধুর বিয়ের ছবি দিয়েছে৷ অনেকগুলো ছবি, এর মধ্যে বেশ কয়েকটা গ্রুপ ফটোও আছে৷ 
সাধারণত এরকম পোস্ট খুব মনোযোগ দিয়ে না দেখেই আমি লাভ রিয়েক্ট বাটন প্রেস করে বসি আর স্ক্রল করতে থাকি। এই পোস্টের ক্ষেত্রেও ব্যতিক্রম ঘটেনি। কিন্তু পরক্ষণেই আবার কী মনে করে আবার পেছনে ওই পোস্টটিতে ফিরে গেলাম। ক্যাপশনটা পড়ে আচমকা একটু কৌতূহল জাগলো, ""আচ্ছা দেখি তো কার বিয়ে হলো?"" 
ছবিগুলো দেখে সত্যি বলত… See more",Realization
"এই যেমন সীতাকুণ্ড, জৈন্তাপুর, হবিগঞ্জ, মাদারীপুর এবং দেশের বিভিন্ন প্রত্যন্ত অঞ্চল থেকে যখন অচেনা মানুষেরা বইয়ের কবিতা, পেইজের লেখার প্রশংসা করেন, শুভকামনা জানান, বই কিনে পড়তে চান, তখন আসলে নব্য লেখক হিসেবে আনন্দের আতিশয্যে আমার চোখের কোণে জল জমে ওঠে। 
এসব ভালোবাসা সত্যি অবিনশ্বর। ",Gratitude
"যদি নাই বা হতে পরিযায়ী পাখি, কী এমন হতো ক্ষতি?
ফুঁৎকারে ওড়ালে বাতাসে দশ বছরের আবাদী ভূমি!",Admiration
"কী সুন্দর আবৃত্তি!
 ভালোবাসা নিরন্তর!",Admiration
"আফিয়া সিদ্দিকা আপুর লেখা 'হৃৎপিন্ড' কবিতা। আপুর লেখা কবিতার বই 'ইচ্ছেঘুড়ির বৃষ্টিবিলাস' অর্ডার লিংক -
https://www.rokomari.com/book/222993/ইছেঘুরির-ব্রিস্তিবিলা… See more",Admiration
"তোমাতে করেছি বন্দি শত বছরের কুঠুরি
আর কাঠগোলাপের বায়না বাক্স,
জানে আমার রোজকার সায়ন্তনী
 তুমি বিনে আমি কতটা শুষ্ক!… See more",Love
"ঢাকায় কলেরার প্রকোপ রেকর্ড ছাড়িয়ে যাচ্ছে। গত ৬০ বছরের মধ্যে যা সবচেয়ে বেশি।
গত মঙ্গলবার ICDDRB এর ইতিহাসের সর্বোচ্চ ১২৭২ জন রোগী ভর্তি হয়েছে। শিশু থেকে বৃদ্ধ ক… See more",Sadness
"এককালে Shakib এর জন্মদিন ব্যক্তিগত ডায়েরিতে লিখে রাখতাম। 
শুভ জন্মদিন, সাকিব আল হাসান, কৈশোরের প্রথম নায়ক।",Love
আমার নানা রঙের দিনগুলি!,Joy
"আমার জলেই টলমল করে আঁখি
তোমার চোখের অশ্রু কোথায় রাখি। 
এই লাইন দুটো খুব সম্ভবত হুমায়ূন আহমেদের অপেক্ষা বা মেঘ বলেছে যাবো যাবো উপন্যাসের শুরুতে লেখা ছিলো। আমার ভীষণ পছন্দের দুটো লাইন!",Admiration
স্তব্ধ হয়ে গেলাম। কী বলা উচিত বুঝতে পারছি না। কী ভয়ংকর!,Amusement
"শীতলক্ষ্যায় সিটি গ্রুপ এর জাহাজ এম ভি রুপসির  ধাক্কায় অর্ধ-শতাধিক যাত্রীসহ সানকেন ডেক টাইপ লঞ্চ ডুবে গিয়েছে। উদ্ধার কাজ চলছে—এখনো নিখোঁজ ৩০-এর বেশি যাত্রী। 
 … See more",Sadness
"মাধুরিমা
~ মোহাম্মদ আলী",Neutral
"নতুন লেখক হিসেবে আমি কল্পনাও করিনি এতোটা সাড়া পাবো! পাশে থাকা প্রত্যেকটি মানুষকে ধন্যবাদ। 
ইচ্ছেঘুড়ির বৃষ্টিবিলাসের আর তিনটি কপি আছে আমার কাছে৷ কেউ নিতে চাইলে ইনবক্স করার অনুরোধ রইলো।",Admiration
"আমার গ্রুপ লিংক-
https://www.facebook.com/groups/1288290225006095/?ref=share",Neutral
"জানেন কি, বিশাল নদীপথে কখন আপনি লক্ষ্যহারা নাবিকের মতো চলতে শুরু করবেন?
যখন আপনি নিজের চেয়ে অন্যকে প্রায়োরিটি দেবেন, অথচ  সেই ""অন্যজন"" বিশ্বাসঘাতকতার পরিচয় দিয়ে… See more",Realization
সুন্দর তো!,Admiration
"- মা মা। বাবা, দেখো বাবা! ওই যে বাবা! 
বইমেলার ইঞ্জিনিয়ারিং ইন্সটিটিউটের গেট দিয়ে ঢুকে খানিক এগোতেই হঠাৎ বিস্ফারিত নোরার কণ্ঠ।
- বাবা এখানে কী করে এলো? বাবা? বা… See more",Amusement
"কবিতাটা বেশ আরামদায়ক!
গ্রুপ লিংক-
https://www.facebook.com/groups/1288290225006095/?ref=share",Neutral
